Age,Gender,Weight (kg),protein_per_kg
38.69,Female,93.78,0.8620174877372574
53.19,Female,105.05,0.6465492622560686
55.92,Female,84.07,1.2538360889734743
24.11,Female,88.58,0.7839241363738992
50.51,Male,86.37,1.189301840916985
47.77,Female,83.89,1.1118130885683633
19.0,Male,82.66,0.8661988870070166
18.86,Female,95.12,1.2495794785534062
50.23,Female,86.72,1.198224169741697
24.03,Female,88.29,0.783667459508438
54.03,Female,87.22,1.3574868149506996
25.11,Female,105.44,0.7567336874051594
39.05,Male,102.34,1.0915575532538595
44.1,Female,89.6,1.4376116071428573
31.63,Male,126.53,0.9703627598198056
25.49,Female,127.55,0.9250490003920032
27.19,Male,88.2,1.340022675736961
36.02,Female,109.87,1.1117684536270138
33.07,Male,102.83,1.12029563356997
37.35,Female,88.65,1.934912577552172
21.24,Female,80.78,0.7920277296360485
52.62,Female,84.36,1.1868183973447133
26.92,Male,87.68,1.8689552919708028
58.04,Female,109.54,1.1214168340332298
56.29,Female,125.88,0.953844931680966
56.77,Male,85.56,0.941912108461898
31.96,Male,97.49,1.1256539132218688
38.76,Male,85.97,1.1578457601488892
30.47,Male,87.22,1.33558816785141
18.8,Female,127.92,0.7288930581613507
41.04,Female,82.17,1.2970670561032007
26.92,Male,103.9,1.1690086621751683
43.35,Male,82.51,1.3581384074657616
58.17,Male,109.07,1.1269826716787386
37.42,Male,102.84,1.1123103850641771
27.59,Female,86.65,1.2625504904789382
34.01,Female,111.91,1.002412653024752
18.05,Female,126.66,0.93857571451129
31.65,Male,126.44,0.9737424865548876
56.81,Female,81.51,1.114709851551957
55.91,Female,88.72,0.8815374211000901
25.22,Male,104.98,0.7606210706801295
45.12,Male,89.7,1.2614269788182833
18.85,Female,85.21,1.4687243281305014
52.28,Male,82.15,1.0790018259281802
32.36,Male,84.33,0.8769121309142655
29.82,Female,121.23,0.7945228078858367
55.16,Male,86.69,1.1733763986618988
56.94,Male,122.07,0.6585565659048087
57.41,Male,108.85,1.1231970601745522
47.27,Male,97.6,0.9675204918032788
48.16,Male,128.37,0.838202072135234
38.96,Female,101.99,1.1033434650455929
31.94,Female,86.24,0.9323979591836736
41.42,Female,81.32,1.5472208558780127
52.04,Male,105.02,1.10502761378785
